               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097766,            0.027172,                   0,           0.0022909,             0.15152,          0.00092156,          0.00021181,             0.09206,            0.022859,                   0,             0.00076,             0.00076,             0.09316
                   1,            0.097466,            0.026089,                   0,           0.0044072,             0.15152,           0.0020347,          0.00060491,            0.088637,            0.018231,                   0,             0.00153,             0.00153,             0.08623
                   2,            0.095791,            0.021577,                   0,             0.01513,            0.060606,            0.004808,          0.00065789,            0.086293,            0.015477,                   0,           0.0022998,           0.0022998,              0.0793
                   3,            0.086265,            0.019991,                   0,            0.017076,            0.090909,           0.0054665,           0.0011357,            0.082211,            0.013453,                   0,           0.0030693,           0.0030693,            0.072369
                   4,            0.086746,            0.021706,                   0,            0.038582,             0.18182,            0.014411,           0.0035059,            0.080235,            0.011846,                   0,           0.0038385,           0.0038385,            0.065438
                   5,            0.087441,            0.020583,                   0,              0.2844,            0.060606,             0.04818,            0.010722,            0.075465,            0.011028,                   0,           0.0046072,           0.0046072,            0.058507
                   6,            0.077643,            0.016648,                   0,            0.048036,             0.12121,            0.050896,            0.006761,            0.072848,            0.010414,                   0,           0.0053752,           0.0053752,            0.051575
                   7,            0.078676,            0.019389,                   0,               0.277,            0.090909,             0.05793,            0.023163,            0.067651,             0.01065,                   0,           0.0061426,           0.0061426,            0.044643
                   8,            0.074685,            0.019122,                   0,             0.29171,            0.090909,            0.048974,            0.017968,            0.068601,            0.010262,                   0,           0.0069091,           0.0069091,            0.037709
                   9,            0.071723,            0.016865,                   0,            0.093753,             0.18182,            0.047774,            0.011687,            0.065365,            0.010032,                   0,           0.0076746,           0.0076746,            0.030775
                  10,            0.077233,            0.019682,                   0,            0.065058,             0.15152,            0.028236,           0.0064111,            0.066356,           0.0098434,                   0,           0.0084391,           0.0084391,            0.023839
                  11,            0.066688,            0.019325,                   0,            0.066516,            0.090909,            0.017789,           0.0039939,            0.065177,           0.0093949,                   0,           0.0092025,           0.0092025,            0.016902
                  12,            0.070268,            0.021015,                   0,            0.087798,            0.090909,            0.024066,           0.0047301,            0.061616,            0.010256,                   0,           0.0099645,           0.0099645,           0.0099645
                  13,            0.062614,            0.017253,                   0,            0.047572,             0.33333,            0.032497,           0.0081436,            0.057674,            0.010379,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.070175,            0.017352,                   0,             0.22132,             0.12121,            0.076127,            0.026735,            0.064451,           0.0092582,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.066868,            0.017146,                   0,            0.087944,             0.15152,            0.035212,           0.0092341,            0.057962,            0.010508,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.065627,            0.018634,                   0,            0.084663,            0.090909,            0.029685,           0.0053958,            0.060905,            0.010211,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.063144,            0.017279,                   0,             0.07962,             0.21212,            0.035671,           0.0073471,            0.058212,            0.010041,                   0,            0.009937,            0.009937,            0.009937
                  18,             0.06768,            0.020352,                   0,             0.16054,            0.090909,            0.035374,            0.015133,            0.056051,            0.010152,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.065124,            0.017643,                   0,              0.1035,            0.090909,            0.025576,           0.0053717,             0.05533,            0.010783,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.066978,            0.018829,                   0,             0.26826,            0.090909,            0.072985,            0.022612,            0.057587,           0.0096456,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.06704,            0.019127,                   0,             0.13329,            0.060606,            0.029043,           0.0064845,            0.058606,           0.0094508,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.062716,            0.015408,                   0,             0.15552,             0.30303,            0.081341,            0.024639,            0.052153,           0.0098388,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.058436,            0.016095,                   0,             0.13279,             0.15152,            0.070639,            0.016326,              0.0546,           0.0095574,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.065307,            0.019172,                   0,            0.053667,             0.30303,            0.028274,           0.0075293,            0.061444,           0.0094588,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.058777,            0.017932,                   0,              0.1545,             0.33333,            0.075901,            0.014834,            0.056191,           0.0090527,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.063269,            0.018665,                   0,            0.091177,             0.24242,            0.048456,            0.012259,            0.056458,            0.010343,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,             0.06163,            0.018735,                   0,             0.33281,             0.15118,             0.10202,            0.024217,            0.053781,           0.0092369,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.055778,             0.01756,                   0,             0.22531,             0.30303,             0.12779,            0.020302,            0.056441,           0.0091405,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.059203,            0.016839,                   0,             0.21929,             0.27273,              0.1114,            0.039434,             0.05455,            0.008813,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,             0.05719,            0.016168,                   0,             0.41495,             0.24242,             0.20018,            0.046461,            0.055122,           0.0091651,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.052166,            0.016936,                   0,              0.3483,             0.18182,             0.11815,            0.036493,             0.05484,           0.0088213,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.057757,            0.016656,                   0,              0.3283,             0.21212,             0.13043,             0.04326,            0.055146,           0.0088211,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.056504,            0.015076,                   0,             0.41659,             0.15152,             0.15668,            0.030992,            0.057713,            0.010782,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.057652,             0.01633,                   0,              0.2702,             0.15152,             0.13033,            0.045341,            0.057379,           0.0093858,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.054853,            0.018265,                   0,             0.30942,             0.15152,             0.12852,            0.030923,            0.056684,           0.0090759,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.058526,            0.016288,                   0,             0.16508,             0.30303,             0.13804,            0.028863,            0.054883,           0.0095233,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.053048,            0.016709,                   0,             0.32839,             0.14837,             0.11178,            0.040025,            0.052735,           0.0097695,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.057898,            0.018086,                   0,             0.30277,             0.21212,             0.11248,            0.033967,             0.05133,           0.0098318,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.053457,            0.017823,                   0,             0.27691,             0.27273,             0.15254,            0.045891,            0.055693,             0.01008,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.053626,             0.01709,                   0,             0.21558,             0.33333,             0.14286,            0.047774,            0.050646,           0.0094093,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.050879,            0.019251,                   0,             0.16874,             0.27273,             0.11266,             0.03855,             0.05063,            0.009669,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.055969,            0.016285,                   0,             0.16311,             0.27273,             0.10307,            0.029732,            0.051543,           0.0097555,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.057545,            0.016651,                   0,             0.39805,             0.30067,              0.2089,            0.057126,            0.050629,            0.008806,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.052321,            0.019103,                   0,             0.42172,             0.27273,             0.18226,            0.050562,            0.051273,           0.0095982,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.055726,            0.015632,                   0,             0.38722,             0.21071,             0.19278,            0.053965,            0.051775,           0.0092079,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.048966,            0.015086,                   0,             0.15776,             0.36364,             0.14683,            0.048215,            0.052005,           0.0090346,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.053209,            0.015549,                   0,             0.23198,             0.32958,             0.21462,            0.044577,            0.054564,           0.0085517,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.051465,            0.017601,                   0,             0.29959,             0.36364,             0.27475,            0.079463,            0.052549,           0.0081482,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.051302,            0.018801,                   0,             0.42745,             0.36364,             0.32426,            0.089963,            0.052383,           0.0081855,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.051241,            0.015334,                   0,             0.49469,             0.33333,             0.30997,            0.093889,            0.053381,           0.0085264,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.054437,            0.017013,                   0,             0.47814,             0.33318,             0.29482,             0.08751,            0.051602,           0.0094091,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.052925,            0.017194,                   0,             0.25834,             0.42424,              0.1797,            0.073034,            0.049586,            0.010288,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.052602,            0.016418,                   0,             0.36777,             0.39394,             0.21156,              0.0693,            0.051778,           0.0082837,                   0,           0.0093491,           0.0093491,           0.0093491
