               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10021,            0.032736,                   0,           0.0033998,            0.036232,           0.0017924,          0.00036802,              0.1009,            0.029097,                   0,             0.00205,             0.00205,             0.08155
                   1,            0.088476,            0.033363,                   0,           0.0012903,             0.14493,           0.0007224,          0.00014416,              0.1197,            0.041223,                   0,           0.0041099,           0.0041099,             0.06301
                   2,            0.084477,            0.032442,                   0,          0.00041648,             0.07971,          0.00022087,          7.4482e-05,             0.13114,             0.60589,                   0,           0.0061694,           0.0061694,            0.044469
                   3,            0.082411,            0.032941,                   0,           0.0033328,              0.2029,           0.0015248,          0.00029875,            0.096481,            0.025528,                   0,           0.0082282,           0.0082282,            0.025928
                   4,            0.081244,             0.03286,                   0,           0.0050045,             0.16667,           0.0020564,           0.0004285,            0.088429,            0.025079,                   0,           0.0099961,           0.0099961,           0.0099961
                   5,            0.080778,            0.032263,                   0,           0.0091437,             0.19565,           0.0041183,          0.00078515,            0.082912,            0.026711,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,             0.07978,            0.031918,                   0,            0.015773,             0.07971,           0.0066862,           0.0011848,            0.081745,            0.027338,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.077238,            0.029802,                   0,            0.018625,             0.19565,             0.00811,           0.0013917,            0.081233,            0.026611,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.074099,            0.029062,                   0,              0.0547,             0.25362,            0.028085,           0.0053916,              0.0788,            0.027256,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.075291,            0.030244,                   0,             0.13507,             0.24638,            0.064702,            0.013709,            0.071936,            0.026405,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.072344,            0.028791,                   0,             0.28946,             0.16533,             0.10093,            0.021675,            0.071613,            0.024902,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.073022,            0.028166,                   0,             0.10933,              0.3913,             0.10312,             0.02677,            0.068243,            0.025841,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.069926,            0.029098,                   0,            0.072445,             0.14493,            0.037019,           0.0070858,            0.078543,            0.026705,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,              0.0704,            0.027707,                   0,             0.12686,             0.21014,            0.086012,            0.017961,            0.072777,            0.022655,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.069988,            0.028423,                   0,              0.2304,             0.19565,             0.13764,             0.02988,            0.070535,            0.024448,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.068123,             0.02777,                   0,             0.19274,             0.26087,             0.12402,            0.025627,            0.064407,            0.025126,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.068284,             0.02765,                   0,             0.27681,             0.16667,             0.13822,            0.026696,            0.065184,            0.024928,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.066117,            0.027553,                   0,              0.1201,             0.36232,            0.086373,             0.01695,            0.067967,            0.026995,                   0,            0.009937,            0.009937,            0.009937
                  18,               0.064,            0.027285,                   0,             0.23651,              0.4058,              0.2175,            0.051162,            0.061481,            0.023573,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.065283,             0.02725,                   0,             0.25438,              0.3913,             0.17976,            0.041962,            0.062145,            0.023072,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.064164,            0.025412,                   0,             0.41892,             0.26812,              0.2404,            0.072613,            0.062729,            0.024097,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.063544,            0.027144,                   0,             0.31293,             0.36232,             0.24373,            0.050754,            0.062528,            0.022523,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.062417,            0.024967,                   0,             0.22385,             0.43478,             0.19887,            0.046807,            0.061652,            0.022918,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.064813,            0.026189,                   0,             0.19937,             0.23913,             0.11517,            0.026078,            0.065143,            0.021382,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.060358,            0.025661,                   0,             0.13804,             0.43478,             0.13062,            0.030399,             0.06302,             0.02386,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.061298,            0.026102,                   0,             0.27432,             0.43478,             0.24909,            0.060669,            0.061643,            0.022798,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.059364,            0.025777,                   0,             0.24831,             0.28986,             0.15179,            0.035632,              0.0609,             0.02411,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.058804,            0.025163,                   0,             0.37287,                 0.5,             0.32465,            0.077099,            0.057547,            0.020759,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.059155,            0.025034,                   0,             0.40878,              0.4058,             0.33386,            0.094234,             0.05978,            0.021495,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.057837,            0.025805,                   0,             0.35857,             0.44155,             0.32348,            0.096706,            0.055899,            0.021031,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.061237,            0.025653,                   0,             0.30087,             0.49272,              0.2587,            0.059246,            0.058044,            0.021256,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.058553,            0.026697,                   0,             0.36872,             0.52174,             0.31433,            0.078569,            0.056476,            0.021833,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.056706,            0.025505,                   0,             0.37823,             0.45652,             0.29946,            0.084773,            0.056709,            0.020796,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.058418,             0.02588,                   0,             0.37724,             0.57971,             0.37314,             0.11389,            0.056181,            0.020523,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.058336,            0.025935,                   0,             0.36332,             0.53623,             0.36988,             0.10728,            0.056375,            0.020818,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.058244,            0.024806,                   0,             0.33616,             0.42566,             0.27572,            0.080901,            0.062614,            0.021204,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.058087,             0.02408,                   0,             0.36674,              0.3913,             0.34926,            0.085171,            0.057332,            0.020642,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.057071,            0.024131,                   0,             0.35882,             0.50691,             0.31022,            0.090304,            0.055629,            0.020007,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.057482,             0.02541,                   0,             0.58975,             0.54348,             0.51691,             0.16037,            0.054193,            0.020788,                   0,           0.0096664,           0.0096664,           0.0096664
